Hotel name,location,price,rating,review,link
Mehul- Near cannaught place,"Paharganj, New Delhi","₹ 76,781",10,Exceptional,https://www.booking.com/hotel/in/mehul-near-cannaught-place.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1384885501_410603932_0_2_0_863129&highlighted_blocks=1384885501_410603932_0_2_0_863129&matching_block_id=1384885501_410603932_0_2_0_863129&sr_pri_blocks=1384885501_410603932_0_2_0_863129_7678080&from=searchresults
Hotel Grace Plus,"Chanakyapuri, New Delhi","₹ 19,339",9.0,Superb,https://www.booking.com/hotel/in/ambessy-plus.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1386402601_410650968_2_1_0&highlighted_blocks=1386402601_410650968_2_1_0&matching_block_id=1386402601_410650968_2_1_0&sr_pri_blocks=1386402601_410650968_2_1_0__1933920&from=searchresults
Hotel Honey Inn - Dwarka Sec 7,New Delhi,"₹ 33,728",N/A,N/A,https://www.booking.com/hotel/in/gera-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1389770801_410964518_2_0_0&highlighted_blocks=1389770801_410964518_2_0_0&matching_block_id=1389770801_410964518_2_0_0&sr_pri_blocks=1389770801_410964518_2_0_0__3372800&from=searchresults
Dev Hotel,"Mahipalpur, New Delhi","₹ 28,288",N/A,N/A,https://www.booking.com/hotel/in/dev-new-delhi2.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1389339901_410922960_2_0_0&highlighted_blocks=1389339901_410922960_2_0_0&matching_block_id=1389339901_410922960_2_0_0&sr_pri_blocks=1389339901_410922960_2_0_0__2828800&from=searchresults
Hotel Grand Marina,"Chanakyapuri, New Delhi","₹ 18,811",4.9,Review score,https://www.booking.com/hotel/in/grand-marina-new-delhi1.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1355037002_407825745_0_42_0_795794&highlighted_blocks=1355037002_407825745_0_42_0_795794&matching_block_id=1355037002_407825745_0_42_0_795794&sr_pri_blocks=1355037002_407825745_0_42_0_795794_1881130&from=searchresults
Hotel Zion Dhama,New Delhi,"₹ 34,816",N/A,N/A,https://www.booking.com/hotel/in/zion-dhama.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1389851201_410969557_2_1_0&highlighted_blocks=1389851201_410969557_2_1_0&matching_block_id=1389851201_410969557_2_1_0&sr_pri_blocks=1389851201_410969557_2_1_0__3481600&from=searchresults
Hotel Airport by family stay,New Delhi,"₹ 9,724",7.0,Good,https://www.booking.com/hotel/in/airport-by-family-stay.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1359862404_408293086_2_41_0_823674&highlighted_blocks=1359862404_408293086_2_41_0_823674&matching_block_id=1359862404_408293086_2_41_0_823674&sr_pri_blocks=1359862404_408293086_2_41_0_823674_972390&from=searchresults
Hotel Grand City Lite Delhi Airport,"Chanakyapuri, New Delhi","₹ 18,811",4.7,Review score,https://www.booking.com/hotel/in/grand-city-lite-delhi-airport.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1353049402_407634126_0_42_0_795061&highlighted_blocks=1353049402_407634126_0_42_0_795061&matching_block_id=1353049402_407634126_0_42_0_795061&sr_pri_blocks=1353049402_407634126_0_42_0_795061_1881130&from=searchresults
Hotel Grand Cozy,"Chanakyapuri, New Delhi","₹ 19,080",5.7,Review score,https://www.booking.com/hotel/in/king-cozy.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1367258402_408976356_0_41_0&highlighted_blocks=1367258402_408976356_0_41_0&matching_block_id=1367258402_408976356_0_41_0&sr_pri_blocks=1367258402_408976356_0_41_0__1908003&from=searchresults
Hotel Nysha Near IGI Airport Delhi,New Delhi,"₹ 316,032",N/A,N/A,https://www.booking.com/hotel/in/nysha-near-igi-airport-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Aq73wr8GwAIB0gIkMzE0ODY0OTEtNTRhOS00ZTI2LWI4MzQtOTQ0MzllZjZmZTI42AIF4AIB&sid=da37e465ce5570e651695d00c645131c&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-11&checkout=2025-05-13&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e9d62ce026480379&srepoch=1743834178&all_sr_blocks=1389845501_410969325_2_1_0&highlighted_blocks=1389845501_410969325_2_1_0&matching_block_id=1389845501_410969325_2_1_0&sr_pri_blocks=1389845501_410969325_2_1_0__31603200&from=searchresults
